,id,host_id,neighborhood_group,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,host_listings_count,availability_365,num_reviews_ltm,price_category
0,40218685.0,39450649,Pankow,Buch,52.63136,13.51879,Entire home/apt,51,1,11,0.4,21,345,8,middle_price
1,37849210.0,286623313,Tempelhof - Schöneberg,Lichtenrade,52.37272,13.41607,Entire home/apt,40,28,2,0.07,1,352,0,middle_price
2,40218814.0,39450649,Pankow,Buch,52.63136,13.51879,Entire home/apt,87,1,3,0.16,21,304,2,high_price
3,32431502.0,243598169,Spandau,Falkenhagener Feld,52.5572,13.14205,Entire home/apt,55,3,16,0.43,1,215,5,middle_price
4,5.46874e+17,156670608,Spandau,Gatow / Kladow,52.45472,13.1089,Entire home/apt,90,3,4,2.55,1,251,4,high_price
5,40217684.0,39450649,Pankow,Buch,52.63136,13.51879,Entire home/apt,87,1,2,0.25,21,354,2,high_price
6,21823782.0,39450649,Pankow,Buch,52.6315,13.51887,Entire home/apt,75,1,5,0.1,21,356,1,middle_price
7,49832233.0,39450649,Pankow,Buch,52.631359,13.518578,Entire home/apt,116,1,1,0.14,21,354,1,high_price
8,7805727.0,12996513,Treptow - Köpenick,Rahnsdorf/Hessenwinkel,52.45668,13.70262,Entire home/apt,89,2,57,0.8,5,111,3,high_price
9,20564821.0,67697339,Treptow - Köpenick,Rahnsdorf/Hessenwinkel,52.46996,13.68417,Entire home/apt,70,3,31,0.56,1,78,0,middle_price
10,2538188.0,12996513,Treptow - Köpenick,Rahnsdorf/Hessenwinkel,52.45668,13.70262,Entire home/apt,89,2,102,1.05,5,111,4,high_price
12,17278449.0,3579991,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.36533,13.694601,Entire home/apt,85,7,14,0.23,2,156,0,high_price
13,16585524.0,109350687,Steglitz - Zehlendorf,Zehlendorf  Südwest,52.40017,13.11369,Entire home/apt,40,1,32,0.51,1,69,2,middle_price
14,32620049.0,245242148,Spandau,Gatow / Kladow,52.470181,13.10836,Entire home/apt,88,3,20,0.54,2,275,4,high_price
15,48741117.0,3044214,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.34610377,13.66003689,Entire home/apt,150,6,0,0.0,4,114,0,high_price
16,50782817.0,220321,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.37501,13.61711,Entire home/apt,53,30,1,0.23,1,202,1,middle_price
17,30525297.0,35931218,Treptow - Köpenick,Rahnsdorf/Hessenwinkel,52.45571,13.70332,Entire home/apt,150,5,0,0.0,1,254,0,high_price
19,43633683.0,294229983,Spandau,Gatow / Kladow,52.46421,13.10663,Entire home/apt,75,3,10,0.47,1,179,8,middle_price
22,19458429.0,26526296,Steglitz - Zehlendorf,Ostpreußendamm,52.40715,13.298,Entire home/apt,186,3,61,1.08,2,6,6,high_price
23,51136724.0,270224489,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.37367,13.61502,Private room,23,3,1,1.0,1,144,1,low_price
24,10503380.0,49848496,Steglitz - Zehlendorf,Teltower Damm,52.41851,13.24046,Private room,23,2,82,1.1,2,79,2,low_price
25,6587489.0,21376717,Neukölln,Buckow,52.41155,13.43745,Entire home/apt,52,3,130,1.6,1,257,5,middle_price
26,32652875.0,39450649,Pankow,Buch,52.63136,13.51858,Entire home/apt,98,1,5,0.14,21,185,4,high_price
27,16222654.0,25310144,Lichtenberg,"Malchow, Wartenberg und Falkenberg",52.58003,13.56731,Entire home/apt,132,4,12,0.2,1,318,2,high_price
28,48523733.0,23851163,Treptow - Köpenick,Altglienicke,52.39769,13.52113,Entire home/apt,38,30,0,0.0,4,263,0,middle_price
29,7007868.0,36734250,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.36969,13.64134,Entire home/apt,50,2,130,1.6,1,250,15,middle_price
30,53246110.0,39450649,Pankow,Buch,52.631359,13.518578,Entire home/apt,39,1,0,0.0,21,343,0,middle_price
31,40218585.0,39450649,Pankow,Buch,52.63136,13.51879,Entire home/apt,51,1,1,0.06,21,345,0,middle_price
32,9538198.0,42048631,Steglitz - Zehlendorf,Drakestr.,52.41227,13.29133,Entire home/apt,124,2,19,0.26,8,0,0,high_price
33,34696146.0,154191012,Treptow - Köpenick,Rahnsdorf/Hessenwinkel,52.45839,13.70499,Entire home/apt,75,5,11,0.33,1,333,4,middle_price
34,5.77298e+17,24269025,Steglitz - Zehlendorf,Zehlendorf  Südwest,52.39594591,13.12263819,Entire home/apt,10,1,0,0.0,2,263,0,low_price
35,7188335.0,1503873,Marzahn - Hellersdorf,Mahlsdorf,52.47966,13.61938,Entire home/apt,70,3,37,0.55,2,283,3,middle_price
37,51533606.0,391512822,Spandau,Falkenhagener Feld,52.55841,13.1353,Entire home/apt,95,1,0,0.0,1,364,0,high_price
38,2538833.0,12996513,Treptow - Köpenick,Rahnsdorf/Hessenwinkel,52.45668,13.70262,Entire home/apt,95,2,86,1.02,5,0,3,high_price
39,9918551.0,50992051,Neukölln,Buckow,52.4143,13.44244,Entire home/apt,41,3,7,0.16,1,171,0,middle_price
